Country,Year,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Exchange_Rate_lag1,Government_Debt_lag1,Trade_Balance_lag1,Reserves_lag1
France,2017,2.286,3.072600717810568,0.2677344346420849,-0.1015661276202308,4.586252367133446,-0.528,10.576052193447303
France,2018,1.587,3.099236066568652,0.7728821485787989,-0.1219354481976571,4.592307819271147,-0.547,10.53855981910402
France,2019,2.076,3.1184807388130444,1.131079478805611,-0.1663230181024169,4.589955020181611,-0.698,10.789930848518054
France,2020,-6.42636,3.1365805821413706,0.8320391794265639,-0.112859387528936,4.5860281404597245,0.597,10.853864558090471
France,2021,6.235879999999995,3.1269359591693355,0.4233050262364954,-0.1329528206147367,4.739826708323979,-2.053,10.911300089297733
France,2022,2.624,3.154742554938599,1.1203737804496223,-0.1678340427900008,4.724756040034832,0.277,10.889859092412964
France,2023,1.116,3.181587029375879,1.9235734849329524,-0.0516894221442748,4.712103464206234,-1.172,10.87497134999573
France,2024,1.067,3.14078454525313,1.8965698335804,-0.0781350068159036,4.69805014246312,-0.995,10.296748491805385
Germany,2001,1.633,3.1669176974892976,0.8808707866428946,0.0794626145222072,4.081580108770963,-1.19976,10.782436378994804
Germany,2002,-0.229,3.125224268786745,1.0647107369924282,0.1028446306505465,4.064138290887791,-0.173,10.68532861887364
Germany,2003,-0.536,3.003303539050309,0.8441500540964727,0.0559634187884673,4.091390202395664,1.954,10.657151631463488
Germany,2004,1.171,2.974355407794406,0.7294791098073357,-0.1232440015415973,4.148580190363775,1.499,10.623653808104605
Germany,2005,0.883,2.945543631970704,1.0224509277025458,-0.2182534676022543,4.1738486633347,4.514,10.594097341639417
Germany,2006,3.862,2.930446806855361,1.074319596099065,-0.2184045579008269,4.206482062158951,4.651,10.59075065581692
Germany,2007,2.887,2.990619224167168,1.020650747198398,-0.2276126090064076,4.195651874738817,5.81,10.537916123371488
Germany,2008,0.91,3.0343277913133537,1.1850957485562468,-0.3151596127109035,4.153980460117975,6.672,10.615660980656116
Germany,2009,-5.20048,3.039701310936114,1.3228219381643171,-0.3730471307037385,4.176845783733844,5.6,10.559894163841728
Germany,2010,4.0786,2.9015082516700037,0.2421816533356336,-0.3327384331266675,4.28132193055225,5.803,10.516734556931103
Germany,2011,3.764,2.973282144716399,0.750944279286162,-0.2819531937182198,4.390963468147563,5.742,10.528252701793978
Germany,2012,0.469,3.0583783802042617,1.2476068413459973,-0.3307094155035119,4.362563449760617,6.29,10.547532694048726
Germany,2013,0.386,2.970619572738916,1.1502555218199482,-0.2505942471377104,4.379573628512815,7.188,10.544404526258882
Germany,2014,2.172,2.986237338992189,0.9582001349513648,-0.2837629320557902,4.349438874768138,6.708,10.56424399646093
Germany,2015,1.656,3.003601231932686,0.5704144151776482,-0.2840510765929425,4.311067545733388,7.233,10.524260488705917
Germany,2016,2.289,2.968463846399797,0.5187937934151675,-0.1039210817322116,4.265717512273499,8.105,10.501953968668325
Germany,2017,2.713,2.9823937091148105,0.3126185577418125,-0.1015661276202308,4.223646188651334,8.79204,10.51559064274789
Germany,2018,1.116,3.0210588315,0.9939922395380072,-0.1219354481976571,4.159289250862483,8.067,10.530392080751383
Germany,2019,0.993,3.06670318742457,1.0767074532800598,-0.1663230181024169,4.107737804333096,8.428,10.502468960707713
Germany,2020,-4.1,3.05870707271538,0.856116008838085,-0.112859387528936,4.072456762464071,7.878,10.49110020229849
Germany,2021,3.67,3.07579036572457,0.3155404005801773,-0.1329528206147367,4.220022278642822,6.32,10.515803906188143
Germany,2022,1.367,3.1117804719166577,1.437937594271729,-0.1678340427900008,4.220639417489257,6.92,10.51808538106174
Germany,2023,-0.264,3.1364068428367595,2.192191885198815,-0.0516894221442748,4.174341114984362,3.845,10.510433200820945
Germany,2024,-0.232,3.076067246206265,1.9501867058225733,-0.0781350068159036,4.1411963409993335,5.562,10.515437692770217
Ghana,2001,3.828,3.471469434647487,3.2624332746170293,-0.5414852864634656,4.310302357721585,-3.13,5.502193185651195
Ghana,2002,4.617,3.491220884309744,3.5243585219454885,-0.3336490047608298,4.056452299620851,-3.26,5.6843617744165975
Ghana,2003,5.112,3.293834863333656,2.7629171025430503,-0.2326674041766721,3.99011303864244,-0.691,6.284246095104462
Ghana,2004,5.404,3.411444698113705,3.318757358277768,-0.1429881655367682,3.897903796867263,0.541,7.174735795222181
Ghana,2005,6.23,3.654650262563276,2.6149109963585864,-0.105921946556149,3.6471195198657047,-2.713,7.381464284833096
