Country,Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
France,2019,2.076,3.1365805821413706,0.8320391794265639,4.5860281404597245,0.597,-0.11285938752893603,10.853864558090471
France,2020,-6.42636,3.1269359591693355,0.4233050262364954,4.739826708323979,-2.053,-0.1329528206147367,10.911300089297733
France,2021,6.235879999999995,3.154742554938599,1.1203737804496223,4.724756040034832,0.277,-0.16783404279000086,10.889859092412964
France,2022,2.624,3.181587029375879,1.9235734849329524,4.712103464206234,-1.172,-0.05168942214427487,10.87497134999573
France,2023,1.116,3.14078454525313,1.8965698335804002,4.69805014246312,-0.995,-0.0781350068159036,10.296748491805385
France,2024,1.067,3.1662342535426036,1.1990607599649155,4.728316590809799,0.396,-0.07916275331954763,10.295495855957682
Germany,2000,2.881,3.1669176974892976,0.8808707866428946,4.081580108770963,-1.19976,0.07946261452220722,10.782436378994804
Germany,2001,1.633,3.1252242687867455,1.0647107369924282,4.064138290887791,-0.173,0.1028446306505465,10.68532861887364
Germany,2002,-0.229,3.003303539050309,0.8441500540964727,4.091390202395664,1.954,0.05596341878846735,10.657151631463487
Germany,2003,-0.536,2.974355407794406,0.7294791098073357,4.1485801903637745,1.499,-0.12324400154159738,10.623653808104605
Germany,2004,1.171,2.945543631970704,1.0224509277025458,4.1738486633347,4.514,-0.21825346760225436,10.594097341639417
Germany,2005,0.883,2.9304468068553615,1.074319596099065,4.206482062158951,4.651,-0.21840455790082697,10.590750655816919
Germany,2006,3.862,2.990619224167168,1.0206507471983979,4.195651874738817,5.81,-0.2276126090064076,10.537916123371488
Germany,2007,2.887,3.0343277913133537,1.1850957485562468,4.153980460117975,6.672,-0.31515961271090354,10.615660980656115
Germany,2008,0.91,3.039701310936114,1.3228219381643171,4.176845783733844,5.6,-0.3730471307037385,10.559894163841728
Germany,2009,-5.20048,2.9015082516700033,0.24218165333563366,4.28132193055225,5.803,-0.3327384331266675,10.516734556931105
Germany,2010,4.0786,2.973282144716399,0.750944279286162,4.390963468147563,5.742,-0.2819531937182198,10.528252701793978
Germany,2011,3.764,3.0583783802042617,1.2476068413459973,4.362563449760617,6.29,-0.3307094155035119,10.547532694048726
Germany,2012,0.469,2.970619572738916,1.1502555218199482,4.379573628512815,7.188,-0.2505942471377104,10.544404526258882
Germany,2013,0.386,2.9862373389921895,0.9582001349513647,4.349438874768138,6.708,-0.2837629320557902,10.56424399646093
Germany,2014,2.172,3.003601231932686,0.5704144151776482,4.311067545733388,7.233,-0.28405107659294254,10.524260488705915
Germany,2015,1.656,2.968463846399797,0.5187937934151675,4.265717512273499,8.105,-0.10392108173221168,10.501953968668325
Germany,2016,2.289,2.9823937091148105,0.3126185577418125,4.223646188651334,8.79204,-0.10156612762023082,10.51559064274789
Germany,2017,2.713,3.0210588315,0.9939922395380071,4.159289250862483,8.067,-0.12193544819765716,10.530392080751383
Germany,2018,1.116,3.06670318742457,1.0767074532800598,4.107737804333096,8.428,-0.1663230181024169,10.502468960707711
Germany,2019,0.993,3.0587070727153796,0.856116008838085,4.072456762464071,7.878,-0.11285938752893603,10.49110020229849
Germany,2020,-4.1,3.07579036572457,0.31554040058017735,4.220022278642822,6.32,-0.1329528206147367,10.515803906188145
Germany,2021,3.67,3.1117804719166577,1.437937594271729,4.220639417489257,6.92,-0.16783404279000086,10.51808538106174
Germany,2022,1.367,3.1364068428367595,2.192191885198815,4.174341114984362,3.845,-0.05168942214427487,10.510433200820945
Germany,2023,-0.264,3.076067246206265,1.9501867058225735,4.1411963409993335,5.562,-0.0781350068159036,10.515437692770215
Germany,2024,-0.232,3.0468055437379915,1.249615162204637,4.157131550320866,5.729,-0.07916275331954763,10.476115320761044
Ghana,2000,3.596,3.471469434647487,3.2624332746170293,4.310302357721585,-3.13,-0.5414852864634656,5.502193185651195
Ghana,2001,3.828,3.491220884309744,3.5243585219454885,4.056452299620851,-3.26,-0.3336490047608298,5.6843617744165975
Ghana,2002,4.617,3.293834863333656,2.7629171025430503,3.99011303864244,-0.691,-0.23266740417667217,6.284246095104462
Ghana,2003,5.112,3.411444698113705,3.318757358277768,3.8979037968672627,0.541,-0.1429881655367682,7.174735795222181
Ghana,2004,5.404,3.654650262563276,2.6149109963585864,3.6471195198657047,-2.713,-0.10592194655614905,7.381464284833096
Ghana,2005,6.23,3.6849969268497116,2.7785086647507713,3.4561589397361296,-4.182,-0.09958888600972865,7.468401107671964
Ghana,2006,5.817,3.5886999383120255,2.5402625140852924,2.897522979891459,-3.36,-0.08871450011718295,7.64449724631838
