Country,Year,Variable,Value
DRC,2013,Government_Debt,23.828
DRC,2013,Trade_Balance,-8.908
Ghana,2013,GDP_Growth,7.241
Ghana,2013,Capital_Formation,24.772
Ghana,2013,Inflation,11.666
Ghana,2013,Government_Debt,42.93
Ghana,2013,Trade_Balance,-9.076
Nigeria,2013,GDP_Growth,5.394
Nigeria,2013,Capital_Formation,14.904
Nigeria,2013,Inflation,8.463
Nigeria,2013,Government_Debt,18.289
Nigeria,2013,Trade_Balance,3.65
Angola,2014,GDP_Growth,4.66
Angola,2014,Capital_Formation,27.522
Angola,2014,Inflation,7.298
Angola,2014,Government_Debt,35.274
Angola,2014,Trade_Balance,-2.279
DRC,2014,GDP_Growth,7.302
DRC,2014,Capital_Formation,15.778
DRC,2014,Inflation,1.24
DRC,2014,Government_Debt,22.774
DRC,2014,Trade_Balance,-4.492
Ghana,2014,GDP_Growth,2.856
Ghana,2014,Capital_Formation,27.165
Ghana,2014,Inflation,15.486
Ghana,2014,Government_Debt,50.111
Ghana,2014,Trade_Balance,-6.757
Nigeria,2014,GDP_Growth,6.31
Nigeria,2014,Capital_Formation,15.803
Nigeria,2014,Inflation,8.052
Nigeria,2014,Government_Debt,18.156
Nigeria,2014,Trade_Balance,0.157
Angola,2015,GDP_Growth,0.76
Angola,2015,Capital_Formation,34.63
Angola,2015,Inflation,9.159
Angola,2015,Government_Debt,50.386
Angola,2015,Trade_Balance,-7.802
DRC,2015,GDP_Growth,6.36
DRC,2015,Capital_Formation,16.561
DRC,2015,Inflation,0.738
DRC,2015,Government_Debt,25.483
DRC,2015,Trade_Balance,-3.69
Ghana,2015,GDP_Growth,2.121
Ghana,2015,Capital_Formation,27.71
Ghana,2015,Inflation,17.153
Ghana,2015,Government_Debt,53.896
Ghana,2015,Trade_Balance,-5.711
Nigeria,2015,GDP_Growth,2.653
Nigeria,2015,Capital_Formation,15.49
Nigeria,2015,Inflation,9.009
Nigeria,2015,Government_Debt,21.024
Nigeria,2015,Trade_Balance,-3.123
Angola,2016,GDP_Growth,-1.7
Angola,2016,Capital_Formation,28.216
Angola,2016,Inflation,30.694
Angola,2016,Government_Debt,66.67
Angola,2016,Trade_Balance,-2.688
DRC,2016,GDP_Growth,0.394
DRC,2016,Capital_Formation,12.188
DRC,2016,Inflation,3.193
DRC,2016,Government_Debt,32.979
DRC,2016,Trade_Balance,-3.871
Ghana,2016,GDP_Growth,3.373
Ghana,2016,Capital_Formation,25.456
Ghana,2016,Inflation,17.455
Ghana,2016,Government_Debt,55.942
